City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,hamilton,US,39.1834,-84.5333,56.03,53,0,12.66,clear sky
82,nikolskoye,RU,59.7035,30.7861,34.88,96,100,5.93,overcast clouds
83,saint-joseph,RE,-21.3667,55.6167,79.18,82,23,11.63,few clouds
84,tessalit,ML,20.1986,1.0114,82.85,10,0,11.34,clear sky
85,vao,NC,-22.6667,167.4833,79.18,75,13,11.61,few clouds
86,honningsvag,NO,70.9821,25.9704,35.35,69,40,10.36,scattered clouds
87,atuona,PF,-9.8,-139.0333,77.97,81,85,16.42,light rain
88,port alfred,ZA,-33.5906,26.891,75.09,89,3,20.65,clear sky
89,surovatikha,RU,55.7652,43.8984,3.31,96,18,3.85,few clouds
90,yellowknife,CA,62.456,-114.3525,-3.59,87,75,4.61,broken clouds
91,manokwari,ID,-0.8667,134.0833,78.49,82,97,6.42,overcast clouds
92,port hardy,CA,50.6996,-127.4199,41.0,93,100,19.57,light intensity shower rain
93,komsomolskiy,UZ,40.4272,71.7189,50.72,87,75,2.3,broken clouds
94,yeppoon,AU,-23.1333,150.7333,74.98,79,33,20.04,scattered clouds
95,buraydah,SA,26.326,43.975,70.25,21,99,14.45,overcast clouds
96,tasiilaq,GL,65.6145,-37.6368,28.56,86,100,16.06,light snow
97,hilo,US,19.7297,-155.09,75.61,76,0,5.75,clear sky
98,stranda,NO,62.3096,6.9358,46.74,74,1,8.59,clear sky
99,camacha,PT,33.0833,-16.3333,62.02,63,0,12.66,clear sky
100,kodiak,US,57.79,-152.4072,38.71,87,100,12.66,overcast clouds
101,nyurba,RU,63.2842,118.3319,-16.08,100,98,2.57,overcast clouds
102,avarua,CK,-21.2078,-159.775,77.05,94,40,2.3,scattered clouds
103,billings,US,45.7833,-108.5007,20.28,67,75,6.91,broken clouds
104,tual,ID,-5.6667,132.75,81.75,75,100,2.64,overcast clouds
105,axim,GH,4.8699,-2.2405,83.52,75,93,9.53,overcast clouds
106,gornopravdinsk,RU,60.05,69.9,-13.74,100,94,3.36,overcast clouds
107,mercedes,AR,-34.6515,-59.4307,73.85,36,1,11.77,clear sky
108,galveston,US,29.3669,-94.9669,64.94,86,100,16.11,haze
109,kapaa,US,22.0752,-159.319,73.72,81,40,8.05,scattered clouds
110,sangar,RU,63.9242,127.4739,-10.77,98,100,2.89,overcast clouds
111,severo-kurilsk,RU,50.6789,156.125,30.67,89,100,6.44,overcast clouds
112,umm lajj,SA,25.0213,37.2685,65.97,53,3,18.28,clear sky
113,salinopolis,BR,-0.6136,-47.3561,75.78,89,100,4.88,overcast clouds
114,lompoc,US,34.6391,-120.4579,69.12,52,0,5.75,clear sky
115,capitao poco,BR,-1.7464,-47.0594,78.53,91,97,4.21,light rain
116,novo aripuana,BR,-5.1206,-60.3797,87.48,64,96,1.1,overcast clouds
117,rocha,UY,-34.4833,-54.3333,72.84,44,7,17.85,clear sky
118,arlit,NE,18.7369,7.3853,83.32,13,70,10.36,broken clouds
119,filingue,NE,14.3521,3.3168,93.63,11,79,8.95,broken clouds
120,bangui,CF,4.3612,18.555,78.98,69,20,3.44,few clouds
121,bayan,CN,46.0833,127.4,12.58,96,48,0.34,scattered clouds
122,saint-leu,RE,-21.15,55.2833,79.66,79,20,7.67,light rain
123,talnakh,RU,69.4865,88.3972,-23.75,98,70,8.08,broken clouds
124,mount gambier,AU,-37.8333,140.7667,46.31,93,23,2.3,few clouds
125,khatanga,RU,71.9667,102.5,-28.82,100,96,4.65,overcast clouds
126,verkhnevilyuysk,RU,63.4453,120.3167,-19.07,100,85,1.03,overcast clouds
127,abnub,EG,27.2696,31.1511,59.22,36,0,10.74,clear sky
128,cherskiy,RU,68.75,161.3,-9.13,81,11,2.48,few clouds
129,robertsport,LR,6.7533,-11.3686,81.1,83,77,12.06,broken clouds
130,mvomero,TZ,-6.25,38.6667,78.94,79,31,7.72,scattered clouds
131,turkan,AZ,40.3639,50.215,41.18,93,100,16.11,overcast clouds
132,atlantic city,US,39.3643,-74.4229,57.18,59,0,5.75,clear sky
133,cidreira,BR,-30.1811,-50.2056,70.57,90,100,17.65,overcast clouds
134,yarensk,RU,62.1675,49.0916,20.59,94,100,8.55,light snow
135,alofi,NU,-19.0595,-169.9187,75.09,94,100,8.05,overcast clouds
136,puerto narino,CO,-3.7703,-70.3831,85.57,60,100,3.49,overcast clouds
137,narsaq,GL,60.9167,-46.05,14.22,70,100,3.18,overcast clouds
138,verkhoyansk,RU,67.5447,133.385,-2.15,100,99,1.63,overcast clouds
139,aksu,CN,41.1231,80.2644,51.76,28,92,6.73,overcast clouds
140,saint george,US,37.1041,-113.5841,46.63,20,0,1.99,clear sky
141,palasa,IN,18.7667,84.4167,74.46,62,45,4.34,scattered clouds
142,tabas,IR,33.5959,56.9244,80.26,21,100,10.6,overcast clouds
143,pisco,PE,-13.7,-76.2167,75.25,69,0,8.05,clear sky
144,buala,SB,-8.145,159.5921,80.02,80,100,4.72,overcast clouds
145,kahului,US,20.8947,-156.47,78.84,73,20,8.01,few clouds
146,kimbe,PG,-5.5502,150.1429,75.4,93,44,2.71,scattered clouds
147,marsassoum,SN,12.8275,-15.9806,105.89,6,0,3.06,clear sky
148,batagay-alyta,RU,67.8006,130.4114,-7.33,96,99,3.74,overcast clouds
149,arequipa,PE,-16.3989,-71.535,62.67,67,75,4.61,broken clouds
150,saint-pierre,RE,-21.3393,55.4781,80.28,80,0,19.57,clear sky
151,port macquarie,AU,-31.4333,152.9167,61.9,77,53,2.66,broken clouds
152,foam lake,CA,51.65,-103.5343,-11.18,89,44,12.59,scattered clouds
153,souillac,MU,-20.5167,57.5167,77.38,94,40,8.05,scattered clouds
154,apartado,CO,7.883,-76.6259,85.86,70,20,13.8,few clouds
155,maine-soroa,NE,13.2114,12.0241,82.44,16,87,9.4,overcast clouds
